,S. No.,Message_body,Label
391,392.0,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",Non-Spam
392,393.0,Company is very good.environment is terrific and food is really nice:),Non-Spam
393,394.0,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,Non-Spam
394,395.0,Water logging in desert. Geoenvironmental implications.,Non-Spam
395,396.0,U 2.,Non-Spam
396,397.0,"Aight, text me tonight and we'll see what's up",Non-Spam
397,398.0,Oh k. . I will come tomorrow,Non-Spam
398,399.0,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,Non-Spam
399,400.0,Now i'm going for lunch.,Non-Spam
400,401.0,"I‘ve got some salt, you can rub it in my open wounds if you like!",Non-Spam
401,402.0,Oh did you charge camera,Non-Spam
402,403.0,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,Non-Spam
403,404.0,Ü still got lessons?  Ü in sch?,Non-Spam
405,406.0,Ok leave no need to ask,Non-Spam
406,407.0,Just send a text. We'll skype later.,Non-Spam
407,408.0,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,Non-Spam
408,409.0,Ok... Then r we meeting later?,Non-Spam
409,410.0,No but the bluray player can,Non-Spam
410,411.0,I will come with karnan car. Please wait till 6pm will directly goto doctor.,Non-Spam
411,412.0,K k:) sms chat with me.,Non-Spam
412,413.0,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",Non-Spam
413,414.0,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,Non-Spam
414,415.0,"Like  &lt;#&gt; , same question",Non-Spam
415,416.0,Haven't left yet so probably gonna be here til dinner,Non-Spam
416,417.0,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,Non-Spam
417,418.0,No problem with the renewal. I.ll do it right away but i dont know his details.,Non-Spam
418,419.0,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",Non-Spam
419,420.0,Pls call me da. What happen.,Non-Spam
420,421.0,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),Non-Spam
422,423.0,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,Non-Spam
423,424.0,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,Non-Spam
424,425.0,I'm in office now da:)where are you?,Non-Spam
425,426.0,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,Non-Spam
426,427.0,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,Non-Spam
428,429.0,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,Non-Spam
429,430.0,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,Non-Spam
430,431.0,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,Non-Spam
432,433.0,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,Non-Spam
433,434.0,Sorry * was at the grocers.,Non-Spam
434,435.0,Sday only joined.so training we started today:),Non-Spam
435,436.0,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",Non-Spam
436,437.0,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,Non-Spam
437,438.0,That sucks. I'll go over so u can do my hair. You'll do it free right?,Non-Spam
438,439.0,Any way where are you and what doing.,Non-Spam
439,440.0,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",Non-Spam
440,441.0,Wot about on wed nite I am 3 then but only til 9!,Non-Spam
441,442.0,Cuz ibored. And don wanna study,Non-Spam
442,443.0,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",Non-Spam
443,444.0,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",Non-Spam
444,445.0,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",Non-Spam
445,446.0,"Hi Chikku, send some nice msgs",Non-Spam
446,447.0,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,Non-Spam
447,448.0,"Oops I did have it,  &lt;#&gt; ?",Non-Spam
449,450.0,Lol for real. She told my dad I have cancer,Non-Spam
450,451.0,Are you driving or training?,Non-Spam
451,452.0,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,Non-Spam
452,453.0,Thanks. Fills me with complete calm and reassurance! ,Non-Spam
454,455.0,Argh why the fuck is nobody in town ;_;,Non-Spam
455,456.0,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,Non-Spam
457,458.0,I've reached sch already...,Non-Spam
459,460.0,Oh you got many responsibilities.,Non-Spam
460,461.0,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",Non-Spam
461,462.0,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,Non-Spam
462,463.0,Ding me on ya break fassyole! Blacko from londn,Non-Spam
463,464.0,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Non-Spam
464,465.0,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",Non-Spam
465,466.0,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,Non-Spam
467,468.0,Nope thats fine. I might have a nap tho! ,Non-Spam
468,469.0,"Aight, call me once you're close",Non-Spam
469,470.0,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",Non-Spam
471,472.0,Sorry about that this is my mates phone and i didnt write it love Kate,Non-Spam
472,473.0,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,Non-Spam
473,474.0,K.k.this month kotees birthday know?,Non-Spam
474,475.0,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",Non-Spam
475,476.0,Gokila is talking with you aha:),Non-Spam
476,477.0,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",Non-Spam
477,478.0,No no. I will check all rooms befor activities,Non-Spam
478,479.0,"St andre, virgil's cream",Non-Spam
479,480.0,What type of stuff do you sing?,Non-Spam
480,481.0,I wont do anything de.,Non-Spam
481,482.0,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",Non-Spam
482,483.0,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,Non-Spam
483,484.0,Sorry i missed your call. Can you please call back.,Non-Spam
484,485.0,Hey happy birthday...,Non-Spam
485,486.0,Aiya we discuss later lar... Pick ü up at 4 is it?,Non-Spam
486,487.0,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),Non-Spam
487,488.0,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS – FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,I’L CALL U""",Non-Spam
488,489.0,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,Non-Spam
490,491.0,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",Non-Spam
491,492.0,"Well, i'm glad you didn't find it totally disagreeable ... Lol",Non-Spam
493,494.0,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,Non-Spam
494,495.0,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam
496,497.0,As in different styles?,Non-Spam
498,499.0,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),Non-Spam
499,500.0,Talk to g and x about that,Non-Spam
501,502.0,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,Non-Spam
502,503.0,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,Non-Spam
503,504.0,I dunno lei... Like dun haf...,Non-Spam
504,505.0,Ok i also wan 2 watch e 9 pm show...,Non-Spam
505,506.0,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,Non-Spam
506,507.0,"Sorry, I'll call you  later. I am in meeting sir.",Non-Spam
507,508.0,I think i am disturbing her da,Non-Spam
509,510.0,"Geeeee ... Your internet is really bad today, eh ?",Non-Spam
510,511.0,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,Non-Spam
511,512.0,Goodnight da thangam I really miss u dear.,Non-Spam
512,513.0,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,Non-Spam
514,515.0,Lmao you know me so well...,Non-Spam
515,516.0,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",Non-Spam
516,517.0,With my sis lor... We juz watched italian job.,Non-Spam
517,518.0,I will vote for wherever my heart guides me,Non-Spam
518,519.0,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,Non-Spam
519,520.0,Hmmm.still we dont have opener?,Non-Spam
520,521.0,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,Non-Spam
521,522.0,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",Non-Spam
522,523.0,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",Non-Spam
523,524.0,O ic lol. Should play 9 doors sometime yo,Non-Spam
525,526.0,She ran off with a younger man. we will make pretty babies together :),Non-Spam
527,528.0,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,Non-Spam
528,529.0,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,Non-Spam
529,530.0,(You didn't hear it from me),Non-Spam
531,532.0,How many times i told in the stage all use to laugh. You not listen aha.,Non-Spam
532,533.0,I want to go to perumbavoor,Non-Spam
533,534.0,"* Was really good to see you the other day dudette, been missing you!",Non-Spam
534,535.0,Ok i vl..do u know i got adsense approved..,Non-Spam
535,536.0,Hey... Very inconvenient for your sis a not huh?,Non-Spam
536,537.0,Is there coming friday is leave for pongal?do you get any news from your work place.,Non-Spam
538,539.0,Go chase after her and run her over while she's crossing the street,Non-Spam
541,542.0,I was gonna ask you lol but i think its at 7,Non-Spam
542,543.0,Where you. What happen,Non-Spam
543,544.0,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,Non-Spam
544,545.0,Yes its possible but dint try. Pls dont tell to any one k,Non-Spam
545,546.0,:-( sad puppy noise,Non-Spam
546,547.0,"It's cool, we can last a little while. Getting more any time soon?",Non-Spam
547,548.0,Great! How is the office today?,Non-Spam
548,549.0,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,Non-Spam
550,551.0,Hey gals...U all wanna meet 4 dinner at nìte? ,Non-Spam
551,552.0,I think the other two still need to get cash but we can def be ready by 9,Non-Spam
552,553.0,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Non-Spam
553,554.0,"Uncle G, just checking up on you. Do have a rewarding month",Non-Spam
554,555.0,U attend ur driving lesson how many times a wk n which day?,Non-Spam
556,557.0,"By the way, 'rencontre' is to meet again. Mountains dont....",Non-Spam
557,558.0,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",Non-Spam
558,559.0,Go fool dont cheat others ok,Non-Spam
559,560.0,Oh k. . I will come tomorrow,Non-Spam
560,561.0,ILL B DOWN SOON,Non-Spam
561,562.0,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,Non-Spam
562,563.0,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,Non-Spam
564,565.0,You still around? Looking to pick up later,Non-Spam
565,566.0,"Nope. Since ayo travelled, he has forgotten his guy",Non-Spam
566,567.0,Well its not like you actually called someone a punto. That woulda been worse.,Non-Spam
567,568.0,"Hmph. Go head, big baller.",Non-Spam
568,569.0,Can you talk with me..,Non-Spam
569,570.0,Esplanade lor. Where else...,Non-Spam
570,571.0,Happy new year. Hope you are having a good semester,Non-Spam
571,572.0,"Just looked it up and addie goes back Monday, sucks to be her",Non-Spam
572,573.0,My drive can only be read. I need to write,Non-Spam
573,574.0,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",Non-Spam
574,575.0,I'm hungry buy smth home...,Non-Spam
575,576.0,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",Non-Spam
